feedback_id,timestamp,channel,content,sentiment_score,sentiment_label,topic_cluster,confidence,priority_score
FB_00001,2024-07-21T23:00:00.000Z,phone,"Processed feedback content 1",0.488,neutral,10,0.891,0.766
FB_00002,2024-05-18T23:00:00.000Z,social_media,"Processed feedback content 2",0.712,positive,1,0.882,0.897
FB_00003,2024-03-15T00:00:00.000Z,phone,"Processed feedback content 3",0.320,negative,2,0.944,0.890
FB_00004,2024-12-20T00:00:00.000Z,social_media,"Processed feedback content 4",0.258,negative,5,0.853,0.909
FB_00005,2024-12-26T00:00:00.000Z,support_ticket,"Processed feedback content 5",0.854,positive,5,0.967,0.625
FB_00006,2024-09-04T23:00:00.000Z,support_ticket,"Processed feedback content 6",0.680,positive,7,0.814,0.978
FB_00007,2024-06-23T23:00:00.000Z,social_media,"Processed feedback content 7",0.860,positive,5,0.753,0.672
FB_00008,2024-10-25T23:00:00.000Z,in_app,"Processed feedback content 8",0.746,positive,5,0.746,0.575
FB_00009,2024-06-21T23:00:00.000Z,in_app,"Processed feedback content 9",0.133,negative,8,0.900,0.968
FB_00010,2024-03-26T00:00:00.000Z,survey,"Processed feedback content 10",0.269,negative,8,0.947,0.589
FB_00011,2024-09-02T23:00:00.000Z,in_app,"Processed feedback content 11",0.340,negative,3,0.819,0.596
FB_00012,2024-06-17T23:00:00.000Z,phone,"Processed feedback content 12",0.085,negative,12,0.816,0.609
FB_00013,2024-07-14T23:00:00.000Z,social_media,"Processed feedback content 13",0.401,neutral,7,0.940,0.709
FB_00014,2024-04-25T23:00:00.000Z,support_ticket,"Processed feedback content 14",0.250,negative,6,0.705,0.655
FB_00015,2024-09-14T23:00:00.000Z,email,"Processed feedback content 15",0.682,positive,8,0.830,0.917
FB_00016,2024-08-12T23:00:00.000Z,phone,"Processed feedback content 16",0.740,positive,3,0.886,0.563
FB_00017,2024-09-03T23:00:00.000Z,support_ticket,"Processed feedback content 17",0.203,negative,7,0.994,0.910
FB_00018,2024-04-19T23:00:00.000Z,survey,"Processed feedback content 18",0.035,negative,8,0.951,0.608
FB_00019,2024-09-10T23:00:00.000Z,survey,"Processed feedback content 19",0.255,negative,11,0.769,0.759
FB_00020,2024-06-15T23:00:00.000Z,in_app,"Processed feedback content 20",0.220,negative,11,0.715,0.539
FB_00021,2024-01-05T00:00:00.000Z,email,"Processed feedback content 21",0.111,negative,10,0.713,0.501
